addr,current_name,proposed_name,evidence_class,evidence,verdict,verifier_note
0x80089A48,func_80089A48,_SpuSetAnyVoice,libscan-xref,"Verbatim LIBSPU/S_SNV@0x80089A24 (SpuSetNoiseVoice) and LIBSPU/S_SRV@0x8008A904 (SpuSetReverbVoice) both carry a REL26 XREF `_SpuSetAnyVoice`; the EXE jal at those relocations targets 0x80089A48 = this function's start. Body: 4.1 S_SAV matches 145/176 words from +0xC (drifted head), 4.0 S_SAV 66/130; unique placement.",CONFIRM,"verifier 2026-09-07: LIBSPU/S_SNV@0x80089A24 and S_SRV@0x8008A904 both 0/9 mismatch, unique, manifest CONTRADICTED/FILL; each has REL26 XREF `_SpuSetAnyVoice` at +0xC; EXE words 0x80089A30 and 0x8008A910 = `0C022692` = jal 0x80089A48 = func_80089A48 start. Body reads `_spu_env&1` then picks `_spu_RQ`/`_spu_RXX` and or-builds a 32-bit voice mask from a2/a3 (mode 0/1/8), consistent with the 4.1 S_SAV body (145/176 from "
0x800841E0,func_800841E0,_SsSndCrescendo,libscan-xref,"Verbatim LIBSND/SSCALL@0x80083F6C (SsSeqCalledTbyT, mid-function XDEF per boundary_fixes.md) XREF `_SsSndCrescendo` -> EXE jal 0x800841E0 = function start. Hunt 2026-07-10 had CRES (4.1 196w) as PROBABLE by size at exactly this gap. Retires alias DispStuff_helper_800841E0.",CONFIRM,"verifier 2026-09-07: LIBSND/SSCALL 0/157 at 0x80083F6C (matches.json single verbatim placement; second-best 135), XREF `_SsSndCrescendo` at +0xF8; EXE 0x80084064 = `0C021078` = jal 0x800841E0 = function start. Body clears seq flag with `addiu a0,-0x11` (~0x10) = psyz cres.c, while func_80084500 uses ~0x20 = decres.c, so the pair is not swappable."
0x80084500,func_80084500,_SsSndDecrescendo,libscan-xref,"Same SSCALL module, XREF `_SsSndDecrescendo` -> EXE jal 0x80084500 = function start (DECRES 232w fits the gap to 0x800848AC). Retires alias DispStuff_helper_80084500.",CONFIRM,"verifier 2026-09-07: Same SSCALL module, XREF `_SsSndDecrescendo` at +0x120; EXE 0x8008408C = `0C021140` = jal 0x80084500 = function start; body uses ~0x20 flag (`addiu a0,-0x21`) = decres.c."
0x800863CC,spu_ResetCounter,_SsVmDamperOff,libscan-xref,"LIBSND/SSSTOP@0x80085270 (4.0 Jun-06 build, bit-verbatim, proven 2026-07-10) XREF `_SsVmDamperOff` -> EXE jal 0x800863CC = function start. Live C definition is named spu_ResetCounter (src) with alias set_global_800863CC; both retired.",CONFIRM,"verifier 2026-09-07: LIBSND/SSSTOP (4.0U) 0/118 at 0x80085270, unique (second 102); XREF `_SsVmDamperOff` at +0xC8; EXE 0x80085338 = `0C0218F3` = jal 0x800863CC = spu_ResetCounter start. C body is `D_800F66F8 = 0`, and D_800F66F8 is `_svm_damper` in the UT_KEYV/VM_ALOC2 HI/LO reloc web, so the body IS ""damper off""."
0x800863DC,func_800863DC,_SsVmFlush,libscan-xref,SSCALL XREF `_SsVmFlush` -> EXE jal 0x800863DC = function start (VM_F fits 0x800863DC..0x80086818).,CONFIRM,"verifier 2026-09-07: SSCALL XREF `_SsVmFlush` at +0x44; EXE 0x80083FB0 = `0C0218F7` = jal 0x800863DC = func_800863DC start. Body: `_svm_envx_ptr=(p+1)&0xF; _svm_envx_hist[p]=0; loop i<_SsVmMaxVoice calling SpuGetVoiceEnvelope` = psyz vm_f.c `_SsVmFlush`. Also called from func_80086818 (_SsVmInit), as in Sony's tree."
0x80086818,func_80086818,_SsVmInit,libscan-xref,Verbatim LIBSND/SSINIT@0x80083A48 (SsInit) XREF `_SsVmInit` -> EXE jal 0x80086818 = function start; 4.0 VM_INIT best-aligns here (hunt).,CONFIRM,"verifier 2026-09-07: LIBSND/SSINIT 0/58 at 0x80083A48 (manifest FILL, second 49); XREF `_SsVmInit` at +0x80; EXE 0x80083AC8 = `0C021A06` = jal 0x80086818 = func_80086818 start. Body: `_spu_setInTransfer(0); _svm_damper=0; SpuInitMalloc(0x20, rec+8); clear 0xC0 halfwords of _svm_sreg_buf; clear 24 dirty bytes` = psyz vm_init.c line for line."
0x80087DA0,spu_NotifyChannel,_SsVmSeqKeyOff,libscan-xref,"LIBSND/PAUSE@0x800848AC (_SsSndPause, verbatim) and SSSTOP@0x80085270 both XREF `_SsVmSeqKeyOff` -> EXE jal 0x80087DA0 = function start. Live C name spu_NotifyChannel + alias find_id_in_table_80087DA0 retired.",CONFIRM,"verifier 2026-09-07: PAUSE 0/39 at 0x800848AC (XREF at +0x58, EXE 0x80084904) and SSSTOP (XREF at +0xC0, EXE 0x80085330) both = `0C021F68` = jal 0x80087DA0 = spu_NotifyChannel start. Extra: the 4.0 VM_SEQ sub-function `_SsVmSeqKeyOff` places 4/38 at exactly 0x80087DA0. C body loops voices, matches `_svm_voice[i]` seq id, sets `_svm_cur.voice` and calls func_800871D4(0) (= _SsVmKeyOffNow)."
0x80085A40,func_80085A40,SsUtKeyOnV,libscan-near,"LIBSND/UT_KEYV (4.0J = 4.0U) 255/259 words at 0x80085A40, unique (second-best 235 mismatches); XDEF SsUtKeyOnV at +0 = function start. The 4 differing words are one paired edit at 0x80085CA4-0x80085CB4: sll 1->3, addu->subu x2, sll 2->1 = the _svm_voice record stride change 52->54 bytes (the identical edit appears between 4.0 VM_NOWOF and the EXE, and 4.1 VM_NOWOF already carries the EXE form); identity unchanged. Its own XREFs resolve to _SsVmVSetUp (verified) and note2pitch2 (verified) exactly. SsUtKeyOffV XDEF at +0x394 = 0x80085DD4 is a second entry point (boundary follow-up, not renamed).",CONFIRM,"verifier 2026-09-07: UT_KEYV 4.0J/4.0U 4/259 at 0x80085A40, second-best 235 at 0x8002F8EC; XDEF SsUtKeyOnV+0 = function start. The 4 diffs (0x80085CA4..CB4) recompute a voice index: lib `(3v)<<2+v)<<2` = 52·v, EXE `((8v-v)<<2 - v)<<1` = 54·v. **Attribution correction:** this is the `_svm_voice` element-stride change between 4.0 and 4.1 (the identical 4-word edit appears in VM_NOWOF 4.0-vs-EXE at 0x8008720C, and VM_NOW"
0x800871D4,func_800871D4,_SsVmKeyOffNow,libscan-near,"LIBSND/VM_NOWOF 4.1: 50/52 words, the 2 diffs are `jr ra`/`sh v0` swapped (delay-slot scheduling, same semantics); 4.0: 48/52. Unique (second-best 33). XDEF at +0 = function start. Also pinned as callee: UT_KEYV (255/259) XREF `_SsVmKeyOffNow` -> EXE jal 0x800871D4. Supersedes the 2026-08-18 HELD-BY-POLICY row.",CONFIRM,"verifier 2026-09-07: VM_NOWOF 4.1/4.2 2/52 at 0x800871D4 (second 34); the 2 diffs are `jr ra`/`sh v0,0(at)` order (lib fills the delay slot with the store, EXE stores then `jr ra; nop`), same semantics. 4.0 build differs only by the 4-word stride edit above. XDEF +0 = function start. Independently pinned by UT_KEYV XREF at +0x3E8 (EXE jal 0x800871D4) and body = psyz vm_nowof.c (okof1/okof2 or-in, okon1/okon2 mask)."
0x800861BC,func_800861BC,_SsVmDoAllocate,libscan-near,"UT_KEYV (255/259 verbatim-near caller) XREF `_SsVmDoAllocate` -> EXE jal 0x800861BC = function start. Body vs 4.0 VM_ALOC2: 100/133 at -4 (a different build of the same routine); references _svm_voice/_svm_cur/_svm_sreg_buf/_svm_damper exactly like the module. Identity from the caller, not the body.",CONFIRM,"verifier 2026-09-07: Caller-pinned: UT_KEYV REL26 at +0x310 names `_SsVmDoAllocate` in ALL six builds (the callee name sequence is identical 4.0J..4.4), and the EXE jal there targets 0x800861BC = function start; the game has exactly one jal to it (from func_80085A40). Body: 4.0 VM_ALOC2 33/132 at -4 (register renumbering, lui-at addressing, the same stride edit); data refs _svm_voice/_svm_cur/_svm_sreg_buf/_svm_damper"
