# known_blocked.txt -- functions permanently blocked from C decompilation.
#
# Each line: <func>  <reason>  <evidence>
#
# These functions use instructions or patterns that GCC 2.7.2 + ASPSX cannot
# emit from C source. They will remain inline asm forever. Auto-loaded by
# tools/classify_func.py and filtered out by the work-queue generator.
#
# Reason codes (also auto-detected by classify_func.detect_permanent_blockers):
#   break_instruction       non-GCC-div-guard break <code>; GCC's normal
#                           signed division emits break 7 / break 6 and those
#                           do NOT belong here.
#   handwritten_overflow_op add/sub/addi (overflow-trap variants); GCC emits
#                           addu/subu/addiu by default. Requires inline asm.
#   sp_manipulation         direct $sp swap or context restore (not
#                           prologue/epilogue). C has no way to take/set the
#                           stack pointer.
#   no_return_fragment      no `jr $ra` in body; orphaned code or fall-through
#                           data-as-code that must remain in .text verbatim.
#   data_as_code            instructions are actually a constant table accessed
#                           via mid-function alabels; semantically data, not code.
#   bios_jumptable_call     BIOS/kernel helper with inline handler/data tail
#                           that cannot be represented as one C function.
#   cop0_op                 mtc0/mfc0/ctc0/cfc0/rfe/tlbXX — system control
#                           coprocessor. No C primitive; requires inline asm.
#
# To remove an entry: only do so if you've actually decompiled the function
# to pure C and it builds. Don't delete just because a future GCC has the
# right builtin -- our toolchain is pinned to 2.7.2.

# --- break instruction (trap with code) ---
func_800164F8   break_instruction        break 1; 10000-iter countdown loop
func_80083698   break_instruction        break 0,259; div-by-zero handler shape
func_800836B8   break_instruction        break 0,260; raw kernel/file trap wrapper

# --- handwritten overflow-trapping ops ---
func_80052C28   handwritten_overflow_op  sub $a1,$t0,$a1; addi $a0,$a0,-0x1000
func_8004C388   handwritten_overflow_op  6x add (not addu) for vector midpoint
func_800790C0   handwritten_overflow_op  addi $v1,$v0,0x62C; also BIOS jumptable

# --- $sp manipulation (stack swap primitive) ---
func_800789D8   sp_manipulation          addu $v0,$sp,$zero; addu $sp,$a0,$zero (returns old sp, sets new)
func_80083220   sp_manipulation          setjmp/longjmp-style context save/restore; loads $sp/$ra/$gp from memory

# --- no jr $ra in body / orphaned fragment ---
func_800790A4   no_return_fragment       1-insn `and $v0,$v0,$s5` only; falls through to next func
func_800545F4   data_as_code             4 magic-constant lui+ori embedded as code; alabels D_800545F8/FC/00 access them as data
func_800164AC   data_as_code             19 consecutive `lb $t0,off($zero)` discarding; no jr $ra

# --- BIOS jumptable / syscall pattern (also catches as bios_or_syscall) ---
func_8007A458   bios_jumptable_call      `addiu $t2,$zero,0xB0; jalr $t2` + handwritten data after function

# --- COP0 ops (system control coprocessor; mfc0/mtc0/rfe/tlb*) ---
# Added 2026-05-10 via tools/scan_all_funcs.py (auto-detected but not previously
# documented). Currently inline_asm in src/display.c.
func_8007E094   cop0_op                  mfc0 $v0,$12 (Status register); also has gte_ops
func_8007FEDC   cop0_op                  mfc0 $v0,$13 (Cause register); also EnterCriticalSection wrapper

# --- handwritten overflow-trapping ops (text1b.c math library + display helpers) ---
# Added 2026-05-10 via tools/scan_all_funcs.py (auto-detected but not previously
