addr,glabel,current_name,proposed_name,evidence_class,evidence,verdict,verifier_note
0x80037F08,func_80037F08,func_80037F08,memcard_Format,api-restatement,"sprintf(buf, ""bu%1d%1d:"" @0x800109C8, a0, a1); return format(buf). BIOS format() on the bu<port><slot>: memory-card device. src/code6cac_c_mid.c:183",CONFIRM,verifier 2026-09-07: exactly sprintf+format
0x80037B90,func_80037B90,pad_file_read_init_80037B90,memcard_ReadFile,api-restatement,"sprintf(buf, ""bu%1d%1d:%s"" @0x800109BC, port, slot, name); fd=open(buf,0x8001); on success stores fd to D_800A3794, memcard_AckEvents, rcnt0_AckEvents, read(fd, dst, len), waits memcard_event_wait_class0xF0000011, returns -1/0. The alias's pad_ prefix is wrong: nothing pad-related, the device is bu (memory card).",CONFIRM,"verifier: open 0x8001=O_RDONLY|O_NOWAIT, read, waits the 4 HwCARD events; pad_ alias wrong"
0x80037C34,func_80037C34,pad_file_write_wrapper_80037C34,memcard_WriteFile,api-restatement,"sprintf(buf, ""bu%1d%1d:%s"" @0x800109BC, port, slot, name); if create-flag: open(buf, (blocks<<16)|0x200) + close (BIOS create-with-size); fd=open(buf,0x8002); write(fd, src, len); wait memcard_event_wait_class0xF0000011. The alias's pad_ prefix is wrong.",CONFIRM,"verifier: create path open((blocks<<16)|0x200)=O_CREAT+block count, write path open 0x8002=O_WRONLY|O_NOWAIT"
0x80037A20,func_80037A20,func_80037A20,memcard_CountFiles,api-restatement,"sprintf(buf, ""bu%1d%1d:*"" @0x800109B0 [alias g_str_memcard_fmt], port, slot); firstfile(buf, &D_80102810) then nextfile loop stepping 0x28-byte DIRENTRYs; count stored to D_800A38C8 and returned.",CONFIRM,verifier: also fills the DIRENTRY list at D_80102810; memcard_ListFiles equally faithful
0x800375EC,func_800375EC,func_800375EC,memcard_Init,api-restatement,InitCARD(1); StartCARD(); _bu_init(); ChangeClearPAD(0); EnterCriticalSection; OpenEvent x8 (class 0xF4000001 specs 4/0x8000/0x100/0x2000 -> D_800A37DC/37F0/37FC/3800; class 0xF0000011 same specs -> D_800A3838/383C/3848/3850); ExitCriticalSection; EnableEvent x8. Exactly the body MISNOMERS.md attributes to the retired pad_press_control name (src/code6cac_c.c:175).,CONFIRM,verifier: matches MISNOMERS.md pad_press_control body verbatim
0x8003A174,func_8003A174,bios_helper_8003A174,comb_Init,api-restatement,"EnterCriticalSection; OpenEvent(0xF000000B, 0x400, 0x2000) -> D_800A3738 and OpenEvent(0xF000000B, 0x8000, 0x2000) -> D_800A3810 (retry until != -1); ExitCriticalSection; VSync(2); AddCOMB(); open(""sio:"" @0x800A3210, 2) -> D_800A373C; open(""sio:"", 0x8001) -> D_800A3734; _comb_control(2,0,0), (1,3,0xE100), (1,4,1). AddCOMB + the sio: device are libcomb (serial link cable), not BIOS-generic and not memcard.",CONFIRM,"verifier: OpenEvent(HwSIO,EvSpIOER)/(HwSIO,EvSpERROR), AddCOMB, open sio: x2, CombReset/SetBPS(0xE100)/SetPacketSize(1); Init more faithful than Open"
0x8003A264,func_8003A264,bios_helper_8003A264,comb_Close,api-restatement,"close(D_800A3734); close(D_800A373C); EnterCriticalSection; CloseEvent(D_800A3738); CloseEvent(D_800A3810); ExitCriticalSection; VSync(2); DelCOMB(); _comb_control(1,1,0). Exact inverse of comb_Init.",CONFIRM,verifier: exact inverse of comb_Init
0x8003A574,func_8003A574,func_8003A574,comb_Read8,api-restatement,"return read(D_800A3734 [the sio: 0x8001 handle opened by comb_Init], &D_800A3688, 8).",CONFIRM,"verifier: read(g_comb_read_fd, buf, 8)"
0x8003A450,func_8003A450,irq_helper_8003A450,comb_Write8,api-restatement,"RCnt(0xF2000001) timeout bookkeeping; polls _comb_control(3,1,0) up to 0x7800 ticks / 1000 tries; _comb_control(1,1,1); sets D_800A382C=1; _comb_control(4,0,func_8003A42C) [installs callback]; write(D_800A373C [sio: write handle], &D_800A3698, 8); _comb_control(4,0,0); _comb_control(1,1,0); returns D_800A382C. The alias's irq_ prefix describes only the RCnt polling.",CONFIRM,"verifier: waits CTS stable (timeout returns 0 without writing), write(g_comb_write_fd, buf, 8), returns wait flag"
0x8003A5A0,func_8003A5A0,func_8003A5A0,comb_WaitRead8,api-restatement,"RCnt(0xF2000001) timeout; loops TestEvent(D_800A3738)/TestEvent(D_800A3810) [the two SIO events comb_Init opened]; on error event: _comb_control(2,0,0), comb_Read8, retry <5; on data: verifies 16-bit xor checksum of the 8 bytes at D_800A3688/D_800A368C, stores them to D_800A36C0/D_800A36C4 and returns 1, else bumps D_800A38D0 and returns 0.",CONFIRM,"verifier: PLAUSIBLE as comb_Recv8 (happy path does no I/O); respelled comb_WaitRead8 and CONFIRMED in round 2: polls EvSpIOER for the async read comb_Read8 issued, checksum, copy"
0x8005B43C,func_8005B43C,obj_helper_8005B43C,snd_Init,api-restatement,"zero 16-entry tables D_800EFB38/D_800EFC38; SsInit(); func_800858D0(0); SsUtReverbOff(); SsUtSetReverbType(0); SsUtSetReverbDepth(0,0); SsSetReservedVoice(0); SsSetTickMode(1); init 24x8-byte table at D_800EFB78 (vol 0x7F); SsStart(); clears D_800A3408/D_800A3400. Alias obj_helper is meaningless.",CONFIRM,verifier: SsInit ... SsSetTickMode(SS_TICK60) ... SsStart
0x8005B50C,func_8005B50C,func_8005B50C,snd_Quit,api-restatement,"func_800858D0(0); SsUtReverbOff(); SsUtSetReverbType(0); SsUtSetReverbDepth(0,0); SsEnd(); SsQuit(); zero the same two 16-entry tables snd_Init zeroes; clears D_800A3408. Exact inverse of snd_Init.",CONFIRM,"verifier: reverb off, SsEnd, SsQuit, zero same tables"
0x8005BE84,func_8005BE84,func_8005BE84,snd_SetReverbType,api-restatement,"func_800858D0(0); t=D_8009AD1C[a0] (s16 table); if t<0 return -1; SsUtReverbOff; SsUtSetReverbType(0); SsUtSetReverbDepth(0,0); SsUtSetReverbType(t); SpuClearReverbWorkArea(t); d=(2*a0+1); SsUtSetReverbDepth(d,d); SsUtReverbOn(); returns (s16)result.",PLAUSIBLE,"verifier: PLAUSIBLE only - arg is an index into D_8009AD1C, not a libsnd type; also sets depth and calls SsUtReverbOn. NOT APPLIED"
0x8005C5A8,func_8005C5A8,func_8005C5A8,snd_VabOpen,api-restatement,"SsVabClose(id); SsVabOpenHeadSticky(rec->head [0x4], id, D_800A3404); rec->head->[0x8]=id; SsVabTransBody(rec->body [0x8], id); returns (s16)result. The three libsnd VAB-open calls in sequence.",CONFIRM,"verifier: SsVabClose, SsVabOpenHeadSticky(head,id,D_800A3404), SsVabTransBody(body,id)"
0x8005C4C0,func_8005C4C0,func_8005C4C0,snd_VabFakeOpen,api-restatement,func_800858D0(0); SsVabClose; SsVabFakeHead; SsVabFakeBody over the D_800EFB38/D_800EFC38 tables. The libsnd fake-VAB pair (SsVabFakeHead/SsVabFakeBody).,CONFIRM,"verifier: relocates table entry, SsVabClose, SsVabFakeHead, SsVabFakeBody; relocation extra but not contradicted"
0x80035FE0,func_80035FE0,sys_helper_80035FE0,cdrom_Init,api-restatement,"CdInit(); CdSetDebug(0); func_80035F30(0,0,0,0) [cdrom_SetMix]; clears D_80101E62; first-call latch D_800A31E4. The old cdrom_Initialize name was retired to CD_init (named_syms.txt:3720), so no competing claim exists.",CONFIRM,"verifier: CdInit, CdSetDebug(0), cdrom_SetMix(0,0,0,0); no live cdrom_Init* claim elsewhere (CD_init @0x800819C4 is a different Sony static)"
0x80035F30,func_80035F30,func_80035F30,cdrom_SetMix,api-restatement,stores a0..a3 into the 4-byte CdlATV block D_800A3718..D_800A371B; CdMix(&D_800A3718); clears D_800A3854.,CONFIRM,"verifier: 4 bytes -> CdlATV, CdMix"
0x80035FA8,func_80035FA8,mode_helper_80035FA8,snd_SerialMixOn,api-restatement,"SsSetSerialAttr(0 [SS_SERIAL_A], 0 [SS_MIX], 1 [SS_SON]); SsSetSerialVol(0, 0x7F, 0x7F). Enables CD serial-audio mixing at full volume. Alias mode_helper is meaningless.",CONFIRM,"verifier: (SS_SERIAL_A, SS_MIX, SS_SON) per PsyQ 4.2 LIBSND.H lines 34-39"
0x80037468,func_80037468,func_80037468,sys_Exec,api-restatement,"VSync(0); SetDispMask(0); gpu_EnableDisplay; snd_Quit [func_8005B50C]; memcard_event_pool_close [func_80037774]; ResetCallback; CdInit; special_camera_get_rot_dir(&hdr); DrawSync(0); ResetGraph(0); StopPAD; StopCallback; EnterCriticalSection; Exec(&hdr, a0, a1); then sys_Init; file_LoadSoundData; VSync(0); SetDispMask(1). BIOS Exec() of a loaded PS-EXE header with full shutdown before and re-init after.",CONFIRM,"verifier: full shutdown, struct EXEC fill, Exec(&hdr,a0,a1), sys_Init + reload; under-claims, nothing false"
0x80037348,special_camera_get_rot_dir,special_camera_get_rot_dir,cdrom_LoadExec,api-restatement,"CdControl(CdlSetloc, &SpecialCam[idx*8]) with idx=D_8008F12C[6]=156; CdRead one 0x800 sector + CdReadSync (func_800372F4); copies the 0x3C-byte struct EXEC at sector+0x10 into dest; setloc loc+1; CdRead(t_size -> t_addr); restart on failure. Table entry 156 = MSF 61:56:00 length 0x1E800 = disc/STR/MOVOVL.EXE (t_addr 0x801D8800). Sole caller sys_Exec, which Exec()s the header. Nothing camera-related; the src doc comment (camera rotation record) was a narrative built on the wrong name.",CONFIRM,"verifier round 2: re-derived index, table, sizes; sole caller sys_Exec; caveat only that it is hard-wired to entry 156"
0x800379D8,func_800379D8,rcnt0_AckEvents,memcard_AckHwEvents,api-restatement,TestEvent x4 (results discarded) on D_800A3838/383C/3848/3850 = the four HwCARD (0xF0000011) events memcard_Init opened. Not root-counter (RCnt classes are 0xF2000000+).,CONFIRM,"verifier round 2: TestEvent tests-and-clears, so Ack is fair"
0x8003791C,func_8003791C,memcard_AckEvents,memcard_AckSwEvents,api-restatement,TestEvent x4 on D_800A37DC/37F0/37FC/3800 = the four SwCARD (0xF4000001) events memcard_Init opened. Respelled so the Sw/Hw pair is consistent.,CONFIRM,verifier round 2: CONFIRM
