addr,current_names,proposed_name,kind,evidence,verdict,verifier_note
0x800A11B8,g_cd_callback_b;D_800A11B8,CD_cbready,base,"HI16/LO16 XREF `CD_cbready` (base, offsets +0) resolved to 0x800A11B8 by 1 accepted verbatim module(s): LIBCD/SYS@0x8008009C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_cd_callback_b/D_800A11B8; LIBCD/SYS reloc; g_cd_callback_b (system.c) is the callback saved/restored around CdRead-style waits — consistent
0x800A11B4,g_cd_callback_a;D_800A11B4,CD_cbsync,base,"HI16/LO16 XREF `CD_cbsync` (base, offsets +0) resolved to 0x800A11B4 by 1 accepted verbatim module(s): LIBCD/SYS@0x8008009C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_cd_callback_a/D_800A11B4; g_cd_callback_a saved/zeroed/restored around CdControl* (system.c:120-248) = CD_cbsync usage; name confirms
0x800A11D5,g_cd_ready_flag2;D_800A11D5,CD_com,base,"HI16/LO16 XREF `CD_com` (base, offsets +0) resolved to 0x800A11D5 by 1 accepted verbatim module(s): LIBCD/SYS@0x8008009C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_cd_ready_flag2/D_800A11D5; current g_cd_ready_flag2 is a misnomer (it is the last command byte indexing CD_comstr); decisions.md:11860 already reads it as CD_com
0x800A11DC,g_cd_cmd_table;D_800A11DC,CD_comstr,base,"HI16/LO16 XREF `CD_comstr` (base, offsets +0) resolved to 0x800A11DC by 1 accepted verbatim module(s): LIBCD/SYS@0x8008009C",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_cd_cmd_table/D_800A11DC; table indexed by CD_com (decisions.md:11860, libcd-twins-forensics) — consistent"
0x800A11C0,g_cd_debug_level,CD_debug,base,"HI16/LO16 XREF `CD_debug` (base, offsets +0) resolved to 0x800A11C0 by 1 accepted verbatim module(s): LIBCD/SYS@0x8008009C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_cd_debug_level; dlabel D_800A11C0 in asm/data/7D920.data.s (not a C definition); g_cd_debug_level is a linker alias; used as debug level in system.c — consistent
0x800A125C,g_cd_result_table;D_800A125C,CD_intstr,base,"HI16/LO16 XREF `CD_intstr` (base, offsets +0) resolved to 0x800A125C by 1 accepted verbatim module(s): LIBCD/SYS@0x8008009C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_cd_result_table/D_800A125C; registry symbols g_cd_result_table + D_800A125C; system.c:392/513/813 already annotate D_800A125C as 'the CD_intstr table'
0x800A11D4,g_cd_ready_flag,CD_mode,base,"HI16/LO16 XREF `CD_mode` (base, offsets +0) resolved to 0x800A11D4 by 1 accepted verbatim module(s): LIBCD/SYS@0x8008009C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_cd_ready_flag; dlabel D_800A11D4 in asm/data; g_cd_ready_flag is a misnomer (CD_mode is the mode byte set by CdlSetmode)
0x800A11D0,g_cd_param,CD_pos,base,"HI16/LO16 XREF `CD_pos` (base, offsets +0) resolved to 0x800A11D0 by 1 accepted verbatim module(s): LIBCD/SYS@0x8008009C",CONFIRM,verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_cd_param; dlabel D_800A11D0 in asm/data; g_cd_param is a misnomer (CD_pos = the CdlLOC position copy)
0x800A11C4,g_cd_mode,CD_status,base,"HI16/LO16 XREF `CD_status` (base, offsets +0) resolved to 0x800A11C4 by 1 accepted verbatim module(s): LIBCD/SYS@0x8008009C",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_cd_mode; dlabel D_800A11C4 in asm/data; CdStatus() returns it and the polling loops test '& 0x10' (CdlStatShellOpen) — CD_status confirmed, g_cd_mode is wrong"
0x8009BE70,g_gpu_debug_func,GPU_printf,base,"HI16/LO16 XREF `GPU_printf` (base, offsets +0) resolved to 0x8009BE70 by 1 accepted verbatim module(s): LIBGPU/PRIM@0x8007A788",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=1 offs=['0x0']; current=g_gpu_debug_func; dlabel D_8009BE70 in asm/data (a data slot holding the printf fn-ptr); gpu.h declares g_gpu_debug_func as void(*)() and display.c calls it with format strings — Sony's `int (*GPU_printf)()` global; NOT a function, so no clash with a C"
0x8009C7A8,g_gte_sqrt_table,SQRT,base,"HI16/LO16 XREF `SQRT` (base, offsets +0) resolved to 0x8009C7A8 by 2 accepted verbatim module(s): LIBGTE/MSC01@0x8007E11C; LIBGTE/MSC09@0x8007E43C",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=2 offs=['0x0']; current=g_gte_sqrt_table; dlabel D_8009C7A8 (asm/data/7D920.data.s:25376, 0x180 bytes) — NOT C-defined; g_gte_sqrt_table is a linker alias (named_syms/symbol_addrs); display.c uses it as the SquareRoot0 LUT; no SQRT macro/typedef in include/ or src/ (only pros"
0x80104E80,g_blood_spot_timer;D_80104E80,VBLANK_MINUS,base,"HI16/LO16 XREF `VBLANK_MINUS` (base, offsets +0) resolved to 0x80104E80 by 3 accepted verbatim module(s): LIBSND/SSINIT@0x80083A48; LIBSND/SSTICK@0x80085544; LIBSND/TEMPO@0x800856B0",CONFIRM,"verifier 2026-09-07: resolver=manifest; mods=3 offs=['0x0']; current=g_blood_spot_timer/D_80104E80; 3 LIBSND modules agree; g_blood_spot_timer (0 src refs, named_syms comment 'ref: md_game_check_change_main_mode_default') is a false game claim — D_80104E80 is used in SsSetTickMode/_SsInit/_SsSndTempo"
